signup_date,plan,age,active_days,membership_months,spend
2025-08-07,pro,23,52,4,16.98
2025-03-08,basic,29,36,9,11.27
2025-11-17,free,40,0,1,0.00
2024-03-04,basic,34,26,22,11.55
2025-11-22,basic,29,29,1,7.15
2024-08-31,free,28,0,16,0.00
2025-03-02,pro,28,89,10,33.55
2025-09-27,pro,34,66,3,30.50
2025-10-10,basic,34,14,2,6.87
2024-07-17,free,22,4,17,0.00
2025-01-21,free,27,7,11,0.00
2025-04-22,basic,40,36,8,13.18
2024-02-22,basic,39,21,22,11.94
2024-03-15,basic,20,31,21,12.88
2024-03-10,basic,23,26,22,7.36
2025-11-10,free,52,11,1,4.77
2025-10-26,free,52,0,2,0.00
2024-02-10,basic,41,54,23,7.36
2025-01-30,free,47,10,11,0.00
2025-06-04,free,NA,14,7,4.63
2024-06-20,pro,29,58,18,27.25
2024-08-03,basic,41,20,17,13.96
2025-03-21,basic,42,29,9,9.27
2025-04-15,basic,NA,36,8,11.83
2024-09-14,basic,35,39,15,7.77
2025-03-19,free,44,8,9,0.00
2025-08-22,free,34,0,4,0.00
2025-09-13,free,44,0,3,0.00
2025-06-30,free,38,14,6,0.00
2024-11-01,basic,16,35,14,6.34
2025-01-17,pro,NA,79,11,26.65
2024-02-12,free,16,1,22,2.74
2024-12-18,free,37,2,12,0.00
2024-09-15,free,40,0,15,7.66
2025-07-16,free,32,12,5,0.88
2025-05-13,pro,30,67,7,28.50
2024-07-17,free,38,0,17,0.00
2025-01-08,basic,27,35,11,13.27
2024-08-14,basic,32,41,16,9.85
2025-05-06,free,25,2,7,0.00
2024-10-14,pro,47,65,14,27.87
2025-10-03,free,46,9,2,0.00
2025-02-18,basic,42,32,10,13.94
2025-10-31,basic,25,33,2,16.09
2024-10-24,free,42,14,14,0.00
2025-09-20,basic,38,35,3,7.46
2024-05-29,basic,28,24,19,12.63
2025-05-14,free,35,25,7,4.66
2025-02-01,free,63,17,11,2.92
2025-06-17,basic,33,14,6,8.36
2025-01-22,free,29,15,11,3.39
2025-06-12,free,22,0,6,0.00
2024-05-22,free,50,0,19,0.00
2025-09-08,basic,33,32,3,16.44
2024-04-26,free,35,14,20,0.00
2024-02-14,free,42,18,22,0.00
2024-06-19,free,48,3,18,0.00
2025-11-08,basic,37,46,1,7.62
2024-08-12,basic,36,36,16,5.66
2024-07-05,basic,42,45,18,14.57
2024-03-11,free,27,14,22,0.00
2025-03-05,basic,38,41,10,16.80
2025-09-06,free,28,7,3,0.00
2025-09-09,free,NA,24,3,0.00
2024-02-14,basic,27,42,22,9.70
2025-01-25,free,51,0,11,0.00
2024-09-17,free,39,0,15,0.00
2024-07-12,free,47,8,17,0.00
2024-07-29,basic,29,35,17,9.67
2025-07-02,free,27,5,6,0.00
2025-07-24,free,50,0,5,0.00
2025-02-11,basic,31,19,10,6.81
2025-04-02,basic,44,38,9,12.21
2025-09-20,basic,16,46,3,17.57
2024-01-06,basic,19,32,24,12.99
2025-01-14,free,NA,12,11,3.46
2025-09-20,basic,37,29,3,11.28
2025-05-21,free,27,0,7,0.00
2025-09-05,free,17,0,3,0.00
2024-06-10,free,23,0,18,0.00
2024-01-16,basic,43,38,23,12.32
2025-07-26,pro,42,72,5,25.90
