date,region,product,units,revenue
2025-02-17,north,gamma,18,146.59
2025-02-17,south,alpha,14,164.56
2025-02-18,east,delta,15,665.06
2025-02-19,south,beta,16,457.45
2025-02-19,south,alpha,7,91.64
2025-02-20,south,beta,20,488.96
2025-02-20,east,beta,19,489.76
2025-02-21,east,alpha,22,257.67
2025-02-22,east,beta,22,536.98
2025-02-22,east,alpha,31,382.86
2025-02-23,south,alpha,22,245.78
2025-02-24,west,beta,29,780.62
2025-02-25,east,beta,22,620.17
2025-02-26,north,alpha,13,157.78
2025-02-27,south,alpha,22,264.96
2025-02-28,north,alpha,21,257.11
2025-03-01,south,beta,20,495.78
2025-03-01,south,beta,26,728.46
2025-03-02,north,alpha,24,321.76
2025-03-03,south,beta,9,239.87
2025-03-04,north,alpha,18,212.94
2025-03-05,south,alpha,15,184.32
2025-03-05,north,beta,24,621.42
2025-03-06,north,gamma,25,195.64
2025-03-06,east,alpha,21,211.32
2025-03-07,east,gamma,21,171.65
2025-03-07,west,alpha,24,267.96
2025-03-08,north,beta,24,698.19
2025-03-09,east,alpha,31,363.20
2025-03-10,east,delta,7,287.76
2025-03-10,north,beta,18,471.68
2025-03-11,north,delta,18,827.82
2025-03-12,south,beta,14,410.74
2025-03-13,east,gamma,30,260.36
2025-03-14,west,alpha,23,286.74
2025-03-15,north,gamma,16,141.51
2025-03-16,north,beta,19,441.11
2025-03-17,north,gamma,17,125.24
2025-03-17,east,alpha,34,376.98
2025-03-18,east,beta,21,599.58
2025-03-19,north,alpha,19,240.60
2025-03-20,south,gamma,16,124.22
2025-03-21,north,alpha,21,250.81
2025-03-21,north,alpha,23,272.43
2025-03-22,south,alpha,28,334.74
2025-03-23,south,alpha,27,363.11
2025-03-23,east,alpha,29,384.12
2025-03-24,south,alpha,15,156.64
2025-03-25,east,beta,28,725.40
2025-03-26,north,delta,24,941.96
2025-03-27,east,alpha,14,156.06
2025-03-28,north,beta,19,512.43
2025-03-29,north,alpha,22,260.65
2025-03-30,south,beta,21,566.33
2025-03-30,east,gamma,14,119.30
2025-03-31,east,delta,23,999.88
2025-04-01,west,gamma,25,193.36
2025-04-02,north,alpha,23,281.37
2025-04-03,south,beta,23,634.72
2025-04-04,north,delta,22,1020.03
2025-04-04,west,delta,19,735.78
2025-04-05,east,delta,20,835.15
2025-04-06,south,alpha,22,254.24
2025-04-07,east,alpha,26,313.34
2025-04-07,south,beta,19,569.98
2025-04-08,west,beta,27,758.43
2025-04-09,south,gamma,14,112.02
2025-04-09,west,beta,14,402.99
2025-04-10,south,alpha,26,327.72
2025-04-11,west,beta,28,660.05
2025-04-12,east,beta,24,721.05
2025-04-13,south,delta,39,1546.44
2025-04-14,north,gamma,9,68.12
2025-04-15,north,beta,29,873.69
2025-04-15,north,beta,17,477.60
2025-04-16,north,beta,28,790.17
2025-04-16,east,alpha,21,275.58
2025-04-17,east,delta,12,527.61
2025-04-18,south,gamma,26,219.31
2025-04-19,south,beta,20,527.14
2025-04-20,north,beta,17,450.93
2025-04-21,north,gamma,12,94.49
2025-04-22,north,beta,41,1189.06
2025-04-22,north,beta,11,325.20
2025-04-23,west,alpha,23,281.74
2025-04-24,south,gamma,17,135.26
2025-04-25,south,alpha,25,310.56
2025-04-26,north,gamma,24,203.81
2025-04-26,north,beta,20,570.40
2025-04-27,east,alpha,34,417.16
2025-04-27,north,beta,5,107.94
2025-04-28,north,beta,13,354.81
2025-04-29,south,beta,26,722.08
2025-04-29,south,beta,19,513.34
2025-04-30,east,gamma,12,103.16
2025-05-01,south,gamma,13,102.04
2025-05-02,north,alpha,6,67.83
2025-05-03,north,gamma,22,165.84
2025-05-04,north,alpha,31,374.78
2025-05-05,west,delta,22,1015.17
2025-05-06,north,beta,14,401.37
2025-05-07,west,alpha,26,311.16
2025-05-08,south,delta,24,999.65
2025-05-09,south,alpha,25,334.81
2025-05-09,south,alpha,26,306.46
2025-05-10,west,beta,25,724.54
2025-05-11,north,beta,11,283.95
2025-05-12,west,gamma,32,238.99
2025-05-13,west,alpha,20,211.40
2025-05-14,east,beta,26,736.68
2025-05-15,north,alpha,21,273.64
2025-05-16,west,alpha,22,233.54
2025-05-16,north,gamma,25,201.62
2025-05-17,north,alpha,31,405.48
2025-05-18,north,alpha,27,350.77
2025-05-18,east,beta,18,470.79
2025-05-19,north,gamma,29,193.57
2025-05-20,south,beta,17,488.42
2025-05-20,west,alpha,31,360.57
2025-05-21,south,alpha,28,377.70
2025-05-22,south,alpha,19,231.07
2025-05-23,north,beta,11,293.57
2025-05-24,south,alpha,17,208.23
2025-05-25,north,gamma,33,259.16
2025-05-26,east,beta,16,434.23
2025-05-27,east,gamma,19,160.55
2025-05-28,south,alpha,19,243.46
2025-05-29,east,alpha,21,273.53
2025-05-29,east,gamma,35,284.38
2025-05-30,west,gamma,21,169.84
2025-05-30,east,alpha,23,304.51
2025-05-31,north,beta,28,686.41
2025-06-01,south,alpha,20,261.07
2025-06-01,north,alpha,39,437.74
2025-06-02,north,beta,17,434.23
2025-06-03,south,alpha,25,321.42
2025-06-03,east,alpha,17,195.76
2025-06-04,north,alpha,30,364.69
2025-06-04,east,alpha,17,191.26
2025-06-05,north,gamma,32,249.12
2025-06-06,west,beta,15,412.99
2025-06-07,north,gamma,23,177.17
2025-06-07,west,alpha,32,405.69
2025-06-08,north,alpha,24,291.99
2025-06-09,north,beta,30,780.71
2025-06-10,north,alpha,21,237.30
2025-06-11,east,alpha,26,321.32
2025-06-12,west,beta,16,433.26
2025-06-13,south,alpha,31,375.27
2025-06-14,south,alpha,33,409.33
2025-06-14,east,alpha,40,509.20
2025-06-15,south,gamma,17,151.84
2025-06-16,east,alpha,21,244.10
2025-06-17,north,gamma,25,210.15
2025-06-18,south,beta,20,546.65
2025-06-18,south,alpha,24,289.46
2025-06-19,north,alpha,22,270.60
2025-06-20,west,alpha,19,240.64
2025-06-21,west,beta,20,597.10
2025-06-21,south,gamma,36,301.68
2025-06-22,east,beta,17,468.49
2025-06-23,north,alpha,23,308.09
2025-06-24,north,alpha,26,305.18
2025-06-24,west,alpha,22,254.43
2025-06-25,south,alpha,30,393.54
2025-06-25,south,beta,14,401.62
2025-06-26,north,gamma,16,117.27
2025-06-27,east,alpha,27,289.32
2025-06-28,north,alpha,8,94.56
2025-06-29,north,beta,25,739.25
2025-06-29,north,gamma,33,288.87
2025-06-30,north,beta,20,597.86
2025-07-01,north,alpha,35,335.20
2025-07-02,north,delta,29,1277.98
2025-07-03,north,alpha,32,358.04
2025-07-04,north,alpha,16,172.97
2025-07-05,east,beta,37,999.46
2025-07-06,east,beta,36,847.68
2025-07-07,north,beta,27,707.53
2025-07-08,south,beta,31,646.04
2025-07-08,north,beta,4,112.57
2025-07-09,east,delta,25,1056.64
2025-07-10,north,gamma,17,148.17
2025-07-11,south,gamma,17,128.61
2025-07-11,south,beta,17,419.09
2025-07-12,north,alpha,19,226.08
2025-07-13,south,delta,25,1144.58
2025-07-14,east,gamma,25,204.35
2025-07-15,west,gamma,32,289.17
2025-07-16,west,beta,22,611.21
2025-07-17,south,gamma,20,148.88
2025-07-17,north,beta,25,654.79
2025-07-18,north,gamma,10,64.78
2025-07-19,north,beta,56,1375.41
2025-07-20,west,alpha,19,219.82
2025-07-21,south,alpha,18,216.05
2025-07-22,west,alpha,27,339.09
2025-07-23,north,alpha,17,220.51
2025-07-24,south,alpha,26,350.81
2025-07-25,south,alpha,35,462.20
2025-07-26,south,alpha,24,291.34
2025-07-27,south,delta,16,706.40
2025-07-27,west,beta,34,891.13
2025-07-28,east,alpha,18,226.94
2025-07-28,east,beta,24,519.33
2025-07-29,south,gamma,24,212.03
2025-07-30,east,beta,24,674.59
2025-07-31,north,delta,20,783.46
2025-08-01,north,alpha,31,400.48
2025-08-01,west,delta,33,1532.37
2025-08-02,south,alpha,29,362.65
2025-08-03,north,beta,43,1179.95
2025-08-04,south,gamma,30,257.70
2025-08-05,east,beta,28,798.57
2025-08-06,north,delta,13,588.93
2025-08-07,north,beta,29,807.06
2025-08-07,south,alpha,25,264.43
2025-08-08,south,beta,15,406.39
2025-08-08,north,alpha,33,384.61
2025-08-09,west,alpha,37,449.73
2025-08-09,north,gamma,21,176.36
2025-08-10,west,beta,33,989.45
2025-08-10,south,alpha,13,166.51
2025-08-11,east,beta,28,787.55
2025-08-12,south,beta,23,647.16
2025-08-13,east,alpha,25,320.11
2025-08-14,west,alpha,29,368.56
2025-08-14,north,beta,21,585.91
2025-08-15,north,beta,17,475.48
2025-08-15,south,alpha,30,384.22
2025-08-16,north,gamma,18,131.72
2025-08-16,south,beta,30,901.27
2025-08-17,east,beta,43,1224.89
2025-08-18,south,gamma,29,246.86
2025-08-19,south,gamma,35,244.77
2025-08-20,north,alpha,37,414.87
2025-08-20,south,gamma,41,357.40
2025-08-21,north,alpha,20,256.49
2025-08-21,north,alpha,34,394.34
2025-08-22,east,beta,24,681.39
2025-08-23,south,alpha,40,483.12
2025-08-23,east,alpha,31,340.31
2025-08-24,north,alpha,29,351.31
2025-08-25,east,alpha,21,240.90
2025-08-26,south,alpha,22,249.03
2025-08-26,east,alpha,28,356.48
2025-08-27,east,beta,26,679.57
2025-08-27,north,gamma,26,201.11
2025-08-28,south,delta,34,1139.25
2025-08-29,east,delta,21,863.31
2025-08-29,south,gamma,44,315.35
2025-08-30,west,delta,25,1081.87
2025-08-30,west,delta,49,1986.72
2025-08-31,west,alpha,24,323.48
2025-08-31,south,delta,39,1631.66
2025-09-01,south,alpha,18,203.02
2025-09-01,east,beta,25,663.52
2025-09-02,south,alpha,20,256.77
2025-09-03,north,alpha,24,249.74
2025-09-03,north,gamma,30,220.69
2025-09-04,north,alpha,22,247.60
2025-09-05,north,alpha,31,413.30
2025-09-06,north,alpha,37,470.32
2025-09-07,south,beta,40,1145.30
2025-09-08,east,gamma,31,268.89
2025-09-08,south,alpha,28,352.67
2025-09-09,north,alpha,21,250.13
2025-09-10,south,gamma,24,200.10
2025-09-10,south,alpha,12,155.36
2025-09-11,east,beta,28,724.36
2025-09-12,west,delta,39,1587.43
2025-09-12,east,gamma,31,266.31
2025-09-13,west,alpha,41,477.19
2025-09-14,south,beta,16,435.53
2025-09-15,south,gamma,25,193.96
2025-09-16,south,beta,25,733.59
2025-09-17,north,delta,24,1108.29
2025-09-17,east,delta,21,852.39
2025-09-18,north,beta,24,695.37
2025-09-18,north,alpha,22,291.00
2025-09-19,north,gamma,24,194.52
2025-09-20,north,alpha,22,282.05
2025-09-20,north,alpha,45,569.56
2025-09-21,south,delta,24,1074.08
2025-09-22,north,beta,29,842.04
2025-09-23,north,gamma,30,237.90
2025-09-24,west,beta,28,706.91
2025-09-25,east,alpha,29,375.53
2025-09-26,east,beta,28,773.21
2025-09-26,south,beta,21,620.54
2025-09-27,north,delta,33,1568.06
2025-09-28,south,alpha,28,373.25
2025-09-28,east,alpha,21,252.49
2025-09-29,north,delta,23,906.35
2025-09-30,south,beta,20,526.39
2025-10-01,south,beta,20,526.97
2025-10-02,east,beta,17,410.30
2025-10-03,east,beta,14,351.37
2025-10-04,east,beta,34,970.12
2025-10-04,north,gamma,21,179.52
2025-10-05,south,gamma,27,208.99
2025-10-06,south,beta,32,909.44
2025-10-07,north,beta,30,645.47
2025-10-08,east,beta,23,605.82
2025-10-08,north,alpha,24,271.14
2025-10-09,south,alpha,25,307.80
2025-10-09,west,alpha,17,195.95
2025-10-10,north,alpha,11,138.66
2025-10-11,north,beta,14,355.24
2025-10-11,north,beta,31,801.60
2025-10-12,west,beta,29,777.78
2025-10-13,north,delta,23,785.57
2025-10-14,east,gamma,20,158.93
2025-10-15,south,delta,24,976.19
2025-10-16,west,gamma,5,39.00
2025-10-16,east,alpha,22,229.47
2025-10-17,east,alpha,19,237.14
2025-10-18,south,beta,49,1402.24
2025-10-19,east,gamma,30,247.51
2025-10-20,north,alpha,24,276.25
2025-10-21,north,alpha,25,315.24
2025-10-22,south,alpha,28,355.49
2025-10-22,south,alpha,20,239.44
2025-10-23,south,alpha,24,294.28
2025-10-24,south,alpha,16,199.50
2025-10-24,north,alpha,25,318.75
2025-10-25,north,alpha,32,366.92
2025-10-25,north,alpha,24,283.63
2025-10-26,north,alpha,31,300.78
2025-10-27,north,beta,21,585.06
2025-10-28,south,gamma,20,169.72
2025-10-28,south,beta,24,539.97
2025-10-29,east,beta,20,557.15
2025-10-30,south,beta,32,813.15
2025-10-31,east,alpha,29,356.75
2025-11-01,east,beta,23,671.55
2025-11-02,south,beta,33,943.92
2025-11-03,north,delta,25,1131.24
2025-11-04,west,beta,24,670.74
2025-11-05,south,beta,20,520.87
2025-11-06,south,alpha,23,226.91
2025-11-07,west,alpha,20,242.48
2025-11-07,north,beta,14,402.90
2025-11-08,east,alpha,25,313.46
2025-11-08,east,alpha,29,343.62
2025-11-09,west,alpha,23,283.13
2025-11-10,south,alpha,17,215.63
2025-11-11,north,gamma,17,149.85
2025-11-12,west,alpha,17,183.98
2025-11-12,south,beta,26,699.82
2025-11-13,north,gamma,12,104.12
2025-11-14,north,alpha,13,152.56
2025-11-15,east,beta,20,547.62
2025-11-15,east,beta,25,570.97
2025-11-16,south,alpha,21,243.75
2025-11-17,north,gamma,26,234.61
2025-11-17,south,beta,10,278.50
2025-11-18,east,alpha,26,313.29
2025-11-18,north,beta,20,562.44
2025-11-19,east,gamma,10,73.99
2025-11-19,north,gamma,3,21.24
2025-11-20,north,delta,15,654.69
2025-11-21,south,delta,21,969.93
2025-11-22,east,beta,19,501.77
2025-11-23,north,alpha,20,251.55
2025-11-23,east,alpha,28,303.27
2025-11-24,east,alpha,30,320.10
2025-11-25,north,gamma,18,137.89
2025-11-26,east,beta,12,322.41
2025-11-27,east,delta,20,822.71
2025-11-28,west,alpha,25,273.24
2025-11-28,east,gamma,18,142.69
2025-11-29,north,beta,25,665.34
2025-11-30,north,beta,31,874.05
2025-12-01,east,alpha,27,335.32
2025-12-01,west,beta,25,513.42
2025-12-02,east,alpha,17,227.21
2025-12-02,east,alpha,17,187.33
2025-12-03,south,alpha,18,219.07
2025-12-03,north,beta,15,393.91
2025-12-04,north,beta,26,716.38
2025-12-05,south,gamma,4,31.46
2025-12-05,west,alpha,20,188.26
2025-12-06,south,alpha,12,153.60
2025-12-06,east,beta,27,698.21
2025-12-07,north,gamma,28,238.57
2025-12-07,west,alpha,26,303.38
2025-12-08,south,gamma,23,179.18
2025-12-09,north,beta,10,269.87
2025-12-10,west,beta,19,497.25
2025-12-11,south,delta,32,1192.58
2025-12-12,south,beta,18,418.65
2025-12-13,north,alpha,23,253.92
2025-12-14,south,beta,25,653.66
2025-12-15,south,beta,18,503.11
2025-12-15,east,beta,24,625.00
2025-12-16,east,alpha,16,211.09
2025-12-17,south,beta,11,312.24
2025-12-17,east,gamma,26,225.44
2025-12-18,south,gamma,25,217.42
2025-12-19,east,alpha,26,270.47
2025-12-19,north,alpha,13,168.02
2025-12-20,south,alpha,14,171.30
2025-12-20,north,beta,23,664.57
2025-12-21,north,gamma,23,189.58
2025-12-22,west,beta,25,706.51
2025-12-23,north,beta,18,468.28
2025-12-24,west,alpha,15,157.30
2025-12-25,north,beta,17,461.19
2025-12-26,north,beta,30,770.20
2025-12-26,south,beta,10,238.86
2025-12-27,north,alpha,23,283.36
2025-12-28,east,gamma,23,178.26
2025-12-28,east,alpha,23,288.87
2025-12-29,north,delta,19,803.11
2025-12-30,east,alpha,17,228.63
2025-12-31,north,gamma,26,172.90
2025-12-31,north,alpha,22,240.17
2026-01-01,east,alpha,18,203.58
2026-01-02,north,alpha,21,261.07
2026-01-03,west,alpha,20,234.80
2026-01-04,east,beta,27,628.11
2026-01-05,north,alpha,15,192.82
2026-01-05,west,alpha,24,295.41
2026-01-06,north,beta,20,462.98
2026-01-07,north,gamma,16,125.07
2026-01-08,south,alpha,19,198.85
2026-01-09,north,delta,18,833.74
2026-01-10,south,alpha,12,147.48
2026-01-10,east,alpha,17,202.80
2026-01-11,west,alpha,19,229.71
2026-01-11,south,alpha,19,229.13
2026-01-12,west,beta,12,280.48
2026-01-12,east,alpha,12,151.07
